TOP,Rr,CRv,HYDRO,WEAK,TECT,v_FR,v_LI,ZROBY,H,W,L,EXT,T,SRS,ENDO,CRFp,CRFm
5,11.8,0.0,0.3,0.0,0.0,18,18,0,1.1,17.5,1.8,0,3.5,0.0,0.0,1.0,1.0
4,9.6,0.0,0.3,0.5,0.5,30,30,0,0.85,12.0,1.6,2,6.0,0.0,1.5,1.0,1.0
56,9.3,0.0,0.0,0.0,0.6,8,8,75,0.95,11.6,1.8,5,1.0,0.0,0.0,1.0,1.0
4,8.7,1.0,0.3,0.0,0.0,0,0,0,1.02,10.0,2.6,3,4.0,0.0,4.6,1.0,1.0
4,9.7,0.0,0.0,0.5,1.0,0,0,0,0.74,7.0,1.8,0,6.0,0.0,2.0,1.0,1.0
56,8.5,0.0,0.0,0.5,0.4,0,50,0,1.05,9.0,1.8,45,6.0,0.0,2.3,1.0,1.0
6,10.1,1.0,0.0,0.0,0.0,0,15,10,1.1,8.0,2.6,4,6.0,0.0,0.0,1.0,1.0
4,10.1,1.0,0.3,0.0,0.0,0,10,0,1.1,9.0,2.6,4,6.0,1.0,3.5,1.0,1.0
4,6.3,0.5,0.0,0.5,0.4,0,50,0,0.6,11.0,1.8,2,6.0,0.0,2.5,1.0,1.0
56,9.1,0.0,0.3,0.5,0.6,20,20,30,1.1,6.4,1.6,0,2.5,0.0,0.0,1.0,1.0
6,9.4,0.5,0.3,0.0,0.0,0,0,180,1.14,7.0,1.8,0,2.0,0.35,2.6,0.6,0.7
6,9.4,0.5,0.3,0.0,0.0,0,0,150,1.14,7.0,1.8,1,2.0,0.35,1.7,0.6,0.7
6,7.9,0.5,0.3,0.5,0.0,0,0,40,1.14,7.0,1.8,0,6.0,0.5,0.75,0.6,0.7
6,9.4,0.5,0.3,0.0,0.0,0,0,150,1.14,7.0,1.8,0,2.0,0.35,2.7,0.6,0.7
4,8.9,0.0,0.0,0.0,0.0,20,20,160,1.175,7.0,1.8,0,2.0,0.25,0.2,0.45,0.5
54,8.9,0.0,0.0,0.5,0.0,20,20,100,1.175,7.0,1.8,0,2.0,0.25,0.0,0.45,0.5
4,8.9,1.0,0.0,0.0,0.6,20,20,100,1.175,7.0,1.8,0,1.51,0.25,0.0,0.6,0.5
5,5.4,1.0,0.0,0.0,0.0,5,5,60,1.11,7.0,1.8,0,1.0,0.25,1.0,0.8,0.9
5,5.4,0.0,0.0,0.0,0.0,5,5,60,1.11,7.0,1.8,0,1.0,0.25,1.5,0.425,0.5
5,5.4,0.0,0.0,0.0,0.0,5,5,60,1.11,7.0,1.8,0,1.0,0.25,0.5,0.45,0.5
5,5.4,0.5,0.5,0.0,0.0,5,5,60,1.11,7.0,1.8,0,1.0,0.25,4.2,0.8,0.7
5,5.4,0.0,0.0,0.0,0.0,5,5,60,1.11,7.0,1.8,0,1.0,0.25,0.0,0.45,0.5
4,8.72,0.0,0.0,0.0,0.0,15,15,150,1.11,7.0,1.8,0,1.0,0.0,0.0,0.6,0.3
4,7.96,0.0,0.0,0.0,0.0,15,15,160,1.11,7.0,1.8,0,1.0,0.0,0.0,0.45,0.3
4,9.6,1.0,0.0,0.0,0.0,15,15,190,1.11,7.0,1.8,0,1.0,0.0,1.0,0.6,0.3
6,7.9,1.0,0.3,0.0,0.0,0,0,100,1.14,7.0,1.8,0,2.0,1.0,2.0,0.8,1.0
6,7.9,1.0,0.3,0.0,0.0,0,0,100,1.14,7.0,1.8,0,2.0,1.0,2.0,0.8,1.0
6,9.5,0.0,0.6,0.0,0.0,0,0,105,1.14,7.0,1.8,2,4.0,0.25,1.8,0.6,0.5
6,9.5,1.0,0.3,0.0,0.0,0,0,105,1.14,7.0,1.8,1,4.0,0.25,1.8,0.85,0.5
6,9.5,0.5,0.3,0.0,0.0,0,0,51,1.14,7.0,1.8,3,5.0,1.0,2.6,0.6,0.5
6,10.0,0.0,0.0,0.0,0.0,20,20,50,1.15,7.0,1.8,0,4.0,0.25,0.0,0.45,0.5
2,10.0,0.0,0.0,0.0,0.0,20,20,80,1.15,7.0,1.8,0,2.0,0.25,0.0,0.45,0.5
54,10.0,1.0,0.0,0.0,0.5,20,20,50,1.15,7.0,1.8,0,4.0,0.5,1.2,0.85,0.7
4,10.0,0.5,0.0,0.0,0.0,20,20,40,1.15,7.5,1.8,0,4.5,1.0,1.5,0.45,0.5
4,10.0,0.5,0.0,0.0,0.0,20,20,20,1.15,8.0,1.8,1,5.0,0.5,1.6,0.6,0.5
4,9.0,0.0,0.0,0.0,0.0,20,20,80,1.15,7.0,1.8,0,3.0,0.5,0.0,0.45,0.5
54,9.0,1.0,0.0,0.0,0.0,20,20,50,1.15,7.5,1.8,0,4.0,0.5,1.7,0.85,0.7
54,9.0,1.0,0.0,0.5,0.5,20,20,20,1.15,8.8,1.8,0,5.0,1.0,1.2,0.6,0.9
4,8.0,0.5,0.0,0.0,0.5,20,20,60,1.15,7.0,1.8,0,3.0,0.25,0.0,0.45,0.5
4,8.0,0.5,0.0,0.0,0.0,20,20,70,1.15,7.5,1.8,1,3.0,0.25,1.5,0.6,0.5
4,8.0,1.0,0.0,0.0,0.0,20,20,70,1.15,7.8,1.8,0,3.0,0.25,1.5,0.85,0.7
6,8.0,0.5,0.0,0.0,0.0,20,20,90,1.15,7.0,1.8,1,2.0,0.25,0.0,0.6,0.5
4,8.0,1.0,0.3,0.5,0.6,20,20,20,1.15,8.0,1.8,0,7.0,1.0,1.1,0.6,0.5
54,9.1,1.0,0.3,0.0,0.0,20,20,63,1.15,7.0,1.8,0,6.0,1.0,1.9,0.6,0.9
54,9.2,0.5,0.3,0.0,0.0,20,20,0,1.15,10.0,1.8,0,6.0,0.25,1.2,0.6,0.9
4,9.7,0.0,0.3,0.0,0.0,20,20,0,1.15,10.0,1.8,0,6.0,0.25,1.6,0.45,0.5
4,9.6,0.5,0.3,0.0,0.0,20,20,0,1.15,10.0,1.8,0,6.0,0.25,1.2,0.45,0.5
54,8.6,0.5,0.0,0.5,0.0,20,20,49,1.15,7.0,1.8,1,6.0,1.0,2.0,0.6,0.9
54,8.9,1.0,0.0,0.5,0.0,20,20,77,1.15,7.5,1.8,1,6.0,1.0,1.9,0.8,0.9
54,8.0,1.0,0.0,0.5,0.0,20,20,0,1.15,10.0,1.8,1,6.0,0.25,1.2,0.8,0.9
54,8.9,1.0,0.0,0.5,0.6,20,20,63,1.15,8.0,1.8,2,7.0,1.0,1.9,0.8,0.9
54,8.9,1.0,0.0,0.5,0.6,20,20,49,1.15,8.0,1.8,2,7.0,1.0,1.7,0.8,0.9
4,9.4,0.0,0.3,0.0,0.0,20,20,21,1.15,7.0,1.8,0,7.0,1.0,1.9,0.425,0.5
5,5.7,0.0,1.0,0.0,0.0,5,5,50,1.11,7.0,1.8,0,5.0,0.5,0.0,0.4,0.5
5,7.1,0.0,0.0,0.0,0.0,5,5,90,1.11,7.0,1.8,0,5.0,0.25,0.0,0.4,0.5
5,5.8,0.0,0.0,0.0,0.0,5,5,90,1.11,7.0,1.8,0,4.5,0.25,0.0,0.425,0.5
5,5.5,0.0,0.0,0.5,0.5,5,5,130,1.11,7.0,1.8,4,4.5,0.5,0.9,0.425,0.9
5,8.8,0.0,0.0,0.0,0.0,5,5,120,1.11,7.0,1.8,0,6.0,0.25,0.0,0.45,0.3
5,10.2,0.0,1.0,0.0,0.5,5,5,20,1.11,7.0,1.8,1,6.0,0.25,0.0,0.45,0.3
5,8.4,0.0,1.0,0.0,0.5,5,5,50,1.11,7.0,1.8,0,6.0,0.5,0.0,0.6,0.3
5,6.3,0.0,0.0,0.0,0.0,5,5,120,1.11,7.0,1.8,0,6.0,0.25,0.0,0.6,0.3
5,11.0,1.0,1.0,0.0,0.5,5,5,120,1.11,7.0,1.8,2,2.0,0.25,1.8,0.8,0.9
5,7.9,1.0,1.0,0.5,0.5,5,5,64,1.11,10.0,1.8,2,2.0,1.0,1.5,0.8,0.9
